length,diameter,height,whole_wt,shucked_wt,viscera_wt,shell_wt,age,class
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,16.5,2
0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,8.5,2
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,10.5,1
0.44,0.365,0.125,0.516,0.2155,0.114,0.155,11.5,2
0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,8.5,2
0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,9.5,1
0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,21.5,1
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,17.5,1
0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,10.5,1
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,20.5,1
0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,15.5,1
0.43,0.35,0.11,0.406,0.1675,0.081,0.135,11.5,2
0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,12.5,1
0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,11.5,2
0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,11.5,2
0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,10.5,1
0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,11.5,2
0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,11.5,2
0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,17.5,1
0.56,0.455,0.155,0.797,0.34,0.19,0.2425,12.5,1
0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,11.5,2
0.49,0.38,0.125,0.549,0.245,0.1075,0.174,11.5,2
0.46,0.35,0.12,0.515,0.224,0.108,0.1565,11.5,2
0.28,0.205,0.08,0.127,0.052,0.039,0.042,10.5,1
0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,6.5,1
0.17,0.13,0.095,0.03,0.013,0.008,0.01,5.5,2
0.59,0.475,0.145,1.053,0.4415,0.262,0.325,16.5,2
0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,10.5,1
0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,11.5,2
0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,11.5,2
0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,13.5,1
0.515,0.405,0.13,0.722,0.32,0.131,0.21,11.5,2
0.575,0.46,0.19,0.994,0.392,0.2425,0.34,14.5,1
0.645,0.485,0.215,1.514,0.546,0.2615,0.635,17.5,1
0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,14.5,1
0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,14.5,1
0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,14.5,1
0.605,0.485,0.16,1.222,0.53,0.2575,0.28,14.5,1
0.61,0.485,0.175,1.2445,0.544,0.297,0.345,13.5,1
0.725,0.56,0.21,2.141,0.65,0.398,1.005,19.5,2
0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,17.5,1
0.725,0.57,0.19,2.55,1.0705,0.483,0.725,15.5,1
0.725,0.575,0.175,2.124,0.765,0.4515,0.85,21.5,1
0.68,0.57,0.205,1.842,0.625,0.408,0.65,21.5,1
0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,15.5,1
0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,13.5,1
0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,15.5,1
0.53,0.395,0.145,0.775,0.308,0.169,0.255,8.5,2
0.525,0.435,0.155,1.065,0.486,0.233,0.285,9.5,1
0.52,0.405,0.115,0.776,0.32,0.1845,0.22,9.5,1
0.235,0.16,0.04,0.048,0.0185,0.018,0.015,6.5,1
0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,8.5,2
0.315,0.21,0.06,0.125,0.06,0.0375,0.035,6.5,1
0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,9.5,1
0.225,0.16,0.045,0.0465,0.025,0.015,0.015,5.5,2
0.58,0.475,0.15,0.97,0.385,0.2165,0.35,12.5,1
0.57,0.48,0.18,0.9395,0.399,0.2,0.295,15.5,1
0.64,0.51,0.175,1.368,0.515,0.266,0.57,22.5,1
0.56,0.45,0.16,1.0235,0.429,0.268,0.3,11.5,2
0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,11.5,2
0.645,0.51,0.2,1.5675,0.621,0.367,0.46,13.5,1
0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,14.5,1
0.63,0.48,0.15,1.0525,0.392,0.336,0.285,13.5,1
0.63,0.5,0.185,1.383,0.54,0.3315,0.38,11.5,2
0.63,0.48,0.16,1.199,0.5265,0.335,0.315,12.5,1
0.585,0.46,0.17,0.9325,0.365,0.271,0.29,10.5,1
0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,14.5,1
0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,13.5,1
0.58,0.45,0.15,0.927,0.276,0.1815,0.36,15.5,1
0.355,0.275,0.085,0.22,0.092,0.06,0.15,9.5,1
0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,11.5,2
0.5,0.405,0.155,0.772,0.346,0.1535,0.245,13.5,1
0.505,0.41,0.15,0.644,0.285,0.145,0.21,12.5,1
0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,17.5,1
0.56,0.45,0.16,0.922,0.432,0.178,0.26,16.5,2
0.585,0.46,0.185,0.922,0.3635,0.213,0.285,11.5,2
0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,10.5,1
0.5,0.4,0.165,0.825,0.254,0.205,0.285,14.5,1
0.5,0.4,0.145,0.63,0.234,0.1465,0.23,13.5,1
0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,14.5,1
0.42,0.335,0.115,0.369,0.171,0.071,0.12,9.5,1
0.44,0.34,0.14,0.482,0.186,0.1085,0.16,10.5,1
0.4,0.3,0.11,0.315,0.109,0.067,0.12,10.5,1
0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,9.5,1
0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,14.5,1
0.37,0.28,0.095,0.2655,0.122,0.052,0.08,8.5,2
0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,11.5,2
0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,8.5,2
0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,13.5,1
0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,10.5,1
0.485,0.395,0.16,0.66,0.2475,0.128,0.235,15.5,1
0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,11.5,2
0.45,0.35,0.13,0.46,0.174,0.111,0.135,9.5,1
0.405,0.3,0.12,0.324,0.1265,0.07,0.11,8.5,2
0.47,0.36,0.135,0.501,0.1665,0.115,0.165,11.5,2
0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,9.5,1
0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,10.5,1
0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,12.5,1
0.49,0.375,0.15,0.5755,0.22,0.144,0.19,10.5,1
0.445,0.355,0.15,0.485,0.181,0.125,0.155,12.5,1
0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,11.5,2
0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,10.5,1
0.39,0.29,0.125,0.3055,0.121,0.082,0.09,8.5,2
0.365,0.27,0.085,0.205,0.078,0.0485,0.07,8.5,2
0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,12.5,1
0.53,0.415,0.16,0.783,0.2935,0.158,0.245,16.5,2
0.555,0.445,0.135,0.836,0.336,0.1625,0.275,14.5,1
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,15.5,1
0.625,0.505,0.215,1.4455,0.496,0.287,0.435,23.5,1
0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,8.5,2
0.44,0.35,0.135,0.435,0.1815,0.083,0.125,13.5,1
0.295,0.225,0.08,0.124,0.0485,0.032,0.04,10.5,1
0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,2.5,1
0.13,0.1,0.03,0.013,0.0045,0.003,0.004,4.5,1
0.11,0.09,0.03,0.008,0.0025,0.002,0.003,4.5,1
0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,6.5,1
0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,18.5,1
0.27,0.2,0.07,0.1,0.034,0.0245,0.035,6.5,1
0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,6.5,1
0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,9.5,1
0.33,0.255,0.085,0.1655,0.063,0.039,0.06,9.5,1
0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,11.5,2
0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,14.5,1
0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,10.5,1
0.305,0.245,0.075,0.156,0.0675,0.038,0.045,8.5,2
0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,8.5,2
0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,8.5,2
0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,14.5,1
0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,13.5,1
0.575,0.46,0.185,1.094,0.4485,0.217,0.345,16.5,2
0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,16.5,2
0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,16.5,2
0.56,0.45,0.185,1.07,0.3805,0.175,0.41,20.5,1
0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,11.5,2
0.635,0.505,0.17,1.415,0.605,0.297,0.365,16.5,2
0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,14.5,1
0.54,0.475,0.155,0.928,0.394,0.194,0.26,12.5,1
0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,13.5,1
0.53,0.42,0.165,0.8945,0.319,0.239,0.245,12.5,1
0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,5.5,2
0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,7.5,1
0.46,0.38,0.13,0.639,0.3,0.1525,0.16,12.5,1
0.52,0.45,0.15,0.895,0.3615,0.186,0.235,15.5,1
0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,9.5,1
0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,10.5,1
0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,14.5,1
0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,23.5,1
0.59,0.5,0.2,1.187,0.412,0.2705,0.37,17.5,1
0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,15.5,1
0.63,0.505,0.225,1.525,0.56,0.3335,0.45,16.5,2
0.63,0.515,0.155,1.259,0.4105,0.197,0.41,14.5,1
0.655,0.54,0.215,1.844,0.7425,0.327,0.585,23.5,1
0.66,0.53,0.185,1.3485,0.493,0.245,0.49,13.5,1
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,19.5,2
0.635,0.525,0.205,1.484,0.55,0.3115,0.43,21.5,1
0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,12.5,1
0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,16.5,2
0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,8.5,2
0.455,0.355,0.12,0.4495,0.177,0.104,0.15,10.5,1
0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,15.5,1
0.515,0.38,0.175,0.9565,0.325,0.158,0.31,15.5,1
0.535,0.415,0.17,0.879,0.295,0.1965,0.285,11.5,2
0.53,0.435,0.155,0.699,0.288,0.1595,0.205,11.5,2
0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,18.5,1
0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,10.5,1
0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,11.5,2
0.54,0.435,0.18,0.996,0.3835,0.226,0.325,18.5,1
0.565,0.505,0.21,1.2765,0.501,0.279,0.355,13.5,1
0.61,0.475,0.165,1.116,0.428,0.2205,0.315,16.5,2
0.565,0.455,0.175,1.013,0.342,0.207,0.35,20.5,1
0.6,0.495,0.195,1.0575,0.384,0.19,0.375,27.5,1
0.295,0.215,0.085,0.128,0.049,0.034,0.04,7.5,1
0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,7.5,1
0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,5.5,2
0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,12.5,1
0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,10.5,1
0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,10.5,1
0.54,0.435,0.175,0.892,0.322,0.174,0.335,14.5,1
0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,9.5,1
0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,7.5,1
0.47,0.36,0.13,0.472,0.182,0.114,0.15,11.5,2
0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,5.5,2
0.165,0.12,0.03,0.0215,0.007,0.005,0.005,4.5,1
0.645,0.515,0.24,1.5415,0.471,0.369,0.535,14.5,1
0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,15.5,1
0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,11.5,2
0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,22.5,1
0.56,0.44,0.14,0.971,0.443,0.2045,0.265,15.5,1
0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,20.5,1
0.62,0.47,0.2,1.2255,0.381,0.27,0.435,24.5,1
0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,24.5,1
0.45,0.355,0.11,0.4585,0.194,0.067,0.14,9.5,1
0.635,0.535,0.19,1.242,0.576,0.2475,0.39,15.5,1
0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,11.5,2
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,19.5,2
0.33,0.255,0.095,0.172,0.066,0.0255,0.06,7.5,1
0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,6.5,1
0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,5.5,2
0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,12.5,1
0.265,0.205,0.07,0.1055,0.039,0.041,0.035,6.5,1
0.335,0.265,0.105,0.222,0.0935,0.056,0.075,8.5,2
0.355,0.275,0.09,0.251,0.097,0.053,0.08,8.5,2
0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,8.5,2
0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,13.5,1
0.36,0.295,0.105,0.241,0.0865,0.053,0.095,9.5,1
0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,9.5,1
0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,13.5,1
0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,9.5,1
0.3,0.22,0.08,0.121,0.0475,0.042,0.035,6.5,1
0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,6.5,1
0.74,0.6,0.195,1.974,0.598,0.4085,0.71,17.5,1
0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,12.5,1
0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,15.5,1
0.59,0.45,0.185,1.283,0.473,0.276,0.425,17.5,1
0.62,0.475,0.185,1.325,0.6045,0.325,0.33,14.5,1
0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,16.5,2
0.575,0.455,0.145,1.165,0.581,0.2275,0.3,15.5,1
0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,15.5,1
0.62,0.465,0.185,1.274,0.579,0.3065,0.32,13.5,1
0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,13.5,1
0.46,0.425,0.155,0.746,0.3005,0.152,0.24,9.5,1
0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,14.5,1
0.525,0.42,0.16,0.756,0.2745,0.173,0.275,10.5,1
0.34,0.26,0.08,0.2,0.08,0.0555,0.055,7.5,1
0.375,0.305,0.115,0.2715,0.092,0.074,0.09,9.5,1
0.61,0.48,0.15,1.2,0.56,0.2455,0.28,15.5,1
0.61,0.495,0.185,1.153,0.536,0.2905,0.245,9.5,1
0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,23.5,1
0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,13.5,1
0.58,0.455,0.17,0.93,0.408,0.259,0.22,10.5,1
0.635,0.515,0.17,1.275,0.509,0.286,0.34,17.5,1
0.7,0.58,0.205,2.13,0.7415,0.49,0.58,21.5,1
0.675,0.525,0.185,1.587,0.6935,0.336,0.395,14.5,1
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,19.5,2
0.745,0.585,0.215,2.499,0.9265,0.472,0.7,18.5,1
0.685,0.545,0.18,1.768,0.7495,0.392,0.485,17.5,1
0.605,0.49,0.18,1.227,0.48,0.287,0.35,19.5,2
0.59,0.465,0.15,0.997,0.392,0.246,0.34,13.5,1
0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,21.5,1
0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,17.5,1
0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,13.5,1
0.63,0.515,0.16,1.016,0.4215,0.244,0.355,20.5,1
0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,12.5,1
0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,11.5,2
0.63,0.49,0.18,1.13,0.458,0.2765,0.315,13.5,1
0.69,0.56,0.215,1.719,0.68,0.299,0.47,18.5,1
0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,17.5,1
0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,17.5,1
0.68,0.58,0.2,1.787,0.585,0.453,0.6,20.5,1
